id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2016-954438,29/03/2016,1,Vente,213000,7,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,105,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.644406,48.844072,000AE
2016-954739,26/03/2016,1,Vente,277900,3,None,ALL DU COMMANDANT CHARCOT,116,77200,77468,Torcy,77,None,None,77468000AE0015,None,None,39,93,None,nan,None,None,None,None,None,None,1,1,Maison,91,4,S,sols,None,None,113,2.639248,48.848453,000AE
2016-954116,25/03/2016,1,Vente,295000,26,None,RUE DU BEAUREGARD,42,77200,77468,Torcy,77,None,None,77468000AE0021,None,None,12,125,None,nan,None,None,None,None,None,None,1,1,Maison,122,6,S,sols,None,None,139,2.640977,48.847877,000AE
2016-953714,8/03/2016,1,Vente,136000,13,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0059,None,None,54,53.07,None,nan,None,None,None,None,None,None,1,2,Appartement,54,2,None,None,None,None,nan,2.644406,48.844072,000AE
2016-953610,4/03/2016,1,Vente,11300,nan,None,RUE DU BEAUREGARD,42,77200,77468,Torcy,77,None,None,77468000AE0095,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,263,2.644428,48.848069,000AE
2016-953611,4/03/2016,1,Vente,1,nan,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0224,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,20,2.642901,48.844596,000AE
2016-953611,4/03/2016,1,Vente,1,nan,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0225,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,19,2.645872,48.844126,000AE
2016-953611,4/03/2016,1,Vente,1,nan,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0228,None,None,None,nan,None,nan,None,None,None,None,None,None,0,None,None,nan,nan,S,sols,None,None,11830,2.644169,48.844511,000AE
2016-952733,22/01/2016,1,Vente,225000,1,None,ALL DU COMMANDANT CHARCOT,116,77200,77468,Torcy,77,None,None,77468000AE0015,None,None,40,81.11,None,nan,None,None,None,None,None,None,1,1,Maison,83,3,S,sols,None,None,76,2.639248,48.848453,000AE
2016-952990,15/01/2016,1,Vente,149040,3,None,RUE CHARLES BAUDELAIRE,101,77200,77468,Torcy,77,None,None,77468000AE0061,None,None,204,nan,None,nan,None,None,None,None,None,None,1,2,Appartement,91,4,None,None,None,None,nan,2.646012,48.843945,000AE
2016-952990,15/01/2016,1,Vente,149040,1,None,RUE CHARLES BAUDELAIRE,101,77200,77468,Torcy,77,None,None,77468000AE0061,None,None,275,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.646012,48.843945,000AE
2016-952565,6/01/2016,1,Vente,179900,16,None,CRS DE L ARCHE GUEDON,8,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,336,70.11,None,nan,None,None,None,None,None,None,1,2,Appartement,67,3,None,None,None,None,nan,2.639724,48.848981,000AE
2015-894732,22/12/2015,1,Vente,193000,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,106,69.52,169,nan,None,None,None,None,None,None,2,2,Appartement,69,3,None,None,None,None,nan,2.642604,48.844414,000AE
2015-894732,22/12/2015,1,Vente,193000,6,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,156,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.642604,48.844414,000AE
2015-894850,9/12/2015,1,Vente,119140,3,None,RUE CHARLES BAUDELAIRE,101,77200,77468,Torcy,77,None,None,77468000AE0061,None,None,255,nan,None,nan,None,None,None,None,None,None,1,2,Appartement,52,2,None,None,None,None,nan,2.646012,48.843945,000AE
2015-894850,9/12/2015,1,Vente,119140,1,None,RUE CHARLES BAUDELAIRE,101,77200,77468,Torcy,77,None,None,77468000AE0061,None,None,271,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.646012,48.843945,000AE
2015-893839,19/11/2015,1,Vente,153600,29,None,ALL PIROUETTE,441,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,6,nan,None,nan,None,None,None,None,None,None,1,2,Appartement,51,2,None,None,None,None,nan,2.639724,48.848981,000AE
2015-893839,19/11/2015,1,Vente,153600,9001,None,RUE DU BEAUREGARD,42,77200,77468,Torcy,77,None,None,77468000AE0002,None,None,87,nan,None,nan,None,None,None,None,None,None,1,3,Dépendance,nan,0,None,None,None,None,nan,2.639724,48.848981,000AE
2015-894087,17/11/2015,1,Vente,160000,15,None,RUE JULES VALLES,329,77200,77468,Torcy,77,None,None,77468000AE0091,None,None,37,48.3,None,nan,None,None,None,None,None,None,1,2,Appartement,46,2,None,None,None,None,nan,2.642604,48.844414,000AE
