fromage,fromageLabel,type,typeLabel
http://www.wikidata.org/entity/Q2859083,Q2859083,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2873254,Q2873254,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2873254,Q2873254,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q2873254,Q2873254,http://www.wikidata.org/entity/Q3088330,pressed cooked cheese
http://www.wikidata.org/entity/Q2909954,Q2909954,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2909954,Q2909954,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2910338,Q2910338,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q2910338,Q2910338,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q2910338,Q2910338,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2910338,Q2910338,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2910338,Q2910338,http://www.wikidata.org/entity/Q3088326,natural-rind soft cheese
http://www.wikidata.org/entity/Q2925185,Q2925185,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2925187,Q2925187,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q2925187,Q2925187,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2925631,Q2925631,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q2925631,Q2925631,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2925631,Q2925631,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q2925631,Q2925631,http://www.wikidata.org/entity/Q3088326,natural-rind soft cheese
http://www.wikidata.org/entity/Q2925632,Q2925632,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2925632,Q2925632,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q2925632,Q2925632,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q2927316,Q2927316,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q2927316,Q2927316,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2927316,Q2927316,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2940367,Q2940367,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2940367,Q2940367,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2940367,Q2940367,http://www.wikidata.org/entity/Q3323634,fresh cheese
http://www.wikidata.org/entity/Q2947221,Q2947221,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q2947221,Q2947221,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2947221,Q2947221,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q2955985,Q2955985,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q2955985,Q2955985,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2955985,Q2955985,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2961427,Q2961427,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q2961427,Q2961427,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2961668,Q2961668,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q2961668,Q2961668,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2961668,Q2961668,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2963093,Q2963093,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q2963093,Q2963093,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2972016,Q2972016,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2972016,Q2972016,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q2972016,Q2972016,http://www.wikidata.org/entity/Q16637313,dairy cheese
http://www.wikidata.org/entity/Q2974924,Q2974924,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2974924,Q2974924,http://www.wikidata.org/entity/Q3323634,fresh cheese
http://www.wikidata.org/entity/Q2997410,Q2997410,http://www.wikidata.org/entity/Q1531597,raw milk cheese
http://www.wikidata.org/entity/Q2997410,Q2997410,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2997410,Q2997410,http://www.wikidata.org/entity/Q3088299,cow's-milk cheese
http://www.wikidata.org/entity/Q2998026,Q2998026,http://www.wikidata.org/entity/Q198815,goat cheese
http://www.wikidata.org/entity/Q2998026,Q2998026,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q2998026,Q2998026,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q2998026,Q2998026,http://www.wikidata.org/entity/Q3088326,natural-rind soft cheese
http://www.wikidata.org/entity/Q3002364,Q3002364,http://www.wikidata.org/entity/Q2223649,French cheese
