fromage,fromageLabel,type,typeLabel
http://www.wikidata.org/entity/Q3473732,Q3473732,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3495344,Q3495344,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3495344,Q3495344,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3495344,Q3495344,http://www.wikidata.org/entity/Q3323634,fresh cheese
http://www.wikidata.org/entity/Q3504960,Q3504960,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3504960,Q3504960,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3504960,Q3504960,http://www.wikidata.org/entity/Q3088323,industrial cheese
http://www.wikidata.org/entity/Q3511839,Q3511839,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3511839,Q3511839,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3511839,Q3511839,http://www.wikidata.org/entity/Q3774485,washed-rind cheese
http://www.wikidata.org/entity/Q3516154,Q3516154,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3516154,Q3516154,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3528329,Q3528329,http://www.wikidata.org/entity/Q746471,blue cheese
http://www.wikidata.org/entity/Q3528329,Q3528329,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3528329,Q3528329,http://www.wikidata.org/entity/Q3088345,mixed milk cheese
http://www.wikidata.org/entity/Q3531216,Q3531216,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3531216,Q3531216,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3531216,Q3531216,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3531217,Q3531217,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3531217,Q3531217,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3531217,Q3531217,http://www.wikidata.org/entity/Q3088318,farmstead cheese
http://www.wikidata.org/entity/Q3531219,Q3531219,http://www.wikidata.org/entity/Q1256296,white mold-rind cheese
http://www.wikidata.org/entity/Q3531219,Q3531219,http://www.wikidata.org/entity/Q2213488,pressed uncooked cheese
http://www.wikidata.org/entity/Q3531219,Q3531219,http://www.wikidata.org/entity/Q2223649,French cheese
http://www.wikidata.org/entity/Q3531219,Q3531219,http://www.wikidata.org/entity/Q3088318,farmstead cheese
